f1_micro,f1_macro,runtime,dataset,method,seed,overlap_ratio,num_clusters
0.7317317317317318,0.6951405429093058,2.2738912105560303,CiteSeer,GCN,0,,
0.7407407407407407,0.7049981169347853,2.2945172786712646,CiteSeer,GraphSAGE,0,,
0.7347347347347347,0.7051003333192628,3.881049633026123,CiteSeer,GAT,0,,
0.6949152542372882,0.6667188807579607,2.091423749923706,CiteSeer,RandomPartition,0,1.0,12.0
0.7447447447447447,0.706922188011963,2.384122610092163,CiteSeer,GCN,1,,
0.7407407407407407,0.700940568871197,2.078913927078247,CiteSeer,GraphSAGE,1,,
0.7457457457457457,0.7071360241095587,3.9386301040649414,CiteSeer,GAT,1,,
0.6909272183449651,0.6636043636264235,1.9372310638427734,CiteSeer,RandomPartition,1,1.0,12.0
0.7287287287287287,0.7026384338664018,2.2730658054351807,CiteSeer,GCN,2,,
0.7347347347347347,0.7032828463323991,1.8870618343353271,CiteSeer,GraphSAGE,2,,
0.7227227227227228,0.6852045632320833,3.9089407920837402,CiteSeer,GAT,2,,
0.7081673306772909,0.6629853753500337,1.9863979816436768,CiteSeer,RandomPartition,2,1.0,12.0
0.7057057057057057,0.6754367811571559,2.3330070972442627,CiteSeer,GCN,3,,
0.7007007007007007,0.6645366327638531,1.8383264541625977,CiteSeer,GraphSAGE,3,,
0.7217217217217218,0.683400592627875,4.029739856719971,CiteSeer,GAT,3,,
0.6999002991026919,0.6677796232723209,1.858980417251587,CiteSeer,RandomPartition,3,1.0,12.0
0.7247247247247247,0.6912260210705133,2.4566471576690674,CiteSeer,GCN,4,,
0.7267267267267268,0.6955198612241595,1.8706166744232178,CiteSeer,GraphSAGE,4,,
0.7307307307307307,0.6992256477704113,3.764193058013916,CiteSeer,GAT,4,,
0.720558882235529,0.6780615621175787,2.050654172897339,CiteSeer,RandomPartition,4,1.0,12.0
0.7277277277277278,0.6910010992625936,2.1265175342559814,CiteSeer,GCN,5,,
0.7237237237237237,0.6852905254126189,1.4841079711914062,CiteSeer,GraphSAGE,5,,
0.7237237237237237,0.6900456468327957,3.428506851196289,CiteSeer,GAT,5,,
0.6533864541832669,0.630920672833752,1.3929150104522705,CiteSeer,RandomPartition,5,1.0,12.0
0.7217217217217218,0.6826795777945419,2.2124812602996826,CiteSeer,GCN,6,,
0.7277277277277278,0.6889038278095598,1.5124266147613525,CiteSeer,GraphSAGE,6,,
0.7167167167167167,0.6813884800487467,3.5579090118408203,CiteSeer,GAT,6,,
0.6885572139303483,0.6511814362267395,1.3858146667480469,CiteSeer,RandomPartition,6,1.0,12.0
0.7447447447447447,0.7100789651692606,1.9492473602294922,CiteSeer,GCN,7,,
0.7247247247247247,0.6895041936196113,1.3834161758422852,CiteSeer,GraphSAGE,7,,
0.7287287287287287,0.6994764877898244,3.2655835151672363,CiteSeer,GAT,7,,
0.7064676616915423,0.6750428154476052,1.208855390548706,CiteSeer,RandomPartition,7,1.0,12.0
0.7197197197197197,0.6837793182184019,1.7734243869781494,CiteSeer,GCN,8,,
0.7057057057057057,0.6651131109716845,1.2737555503845215,CiteSeer,GraphSAGE,8,,
0.7167167167167167,0.6760226164870646,3.1540143489837646,CiteSeer,GAT,8,,
0.7221115537848606,0.6866972254242838,1.2447335720062256,CiteSeer,RandomPartition,8,1.0,12.0
0.7207207207207207,0.6944175185637326,1.7317006587982178,CiteSeer,GCN,9,,
0.7127127127127127,0.6830452917444836,1.2513647079467773,CiteSeer,GraphSAGE,9,,
0.7157157157157157,0.681426093283374,2.988271951675415,CiteSeer,GAT,9,,
0.7064676616915423,0.6757595362911655,1.2138824462890625,CiteSeer,RandomPartition,9,1.0,12.0
0.7447447447447447,0.7146443206399149,1.8054347038269043,CiteSeer,GCN,10,,
0.7307307307307307,0.7030683913967999,1.2834420204162598,CiteSeer,GraphSAGE,10,,
0.7377377377377378,0.7055843658932526,2.957291841506958,CiteSeer,GAT,10,,
0.6673306772908366,0.6376171101200808,1.2216763496398926,CiteSeer,RandomPartition,10,1.0,12.0
0.7507507507507507,0.7183159010544061,1.7272286415100098,CiteSeer,GCN,11,,
0.7387387387387387,0.7046722299545091,1.2617816925048828,CiteSeer,GraphSAGE,11,,
0.7367367367367368,0.7017900503636719,2.9137070178985596,CiteSeer,GAT,11,,
0.690547263681592,0.6586294751935697,1.2512786388397217,CiteSeer,RandomPartition,11,1.0,12.0
0.7257257257257257,0.6884489378553457,2.020631790161133,CiteSeer,GCN,12,,
0.7297297297297297,0.6988358681834503,1.328754186630249,CiteSeer,GraphSAGE,12,,
0.7237237237237237,0.6922724021670869,3.255319833755493,CiteSeer,GAT,12,,
0.6979062811565304,0.6712837025427599,1.211122989654541,CiteSeer,RandomPartition,12,1.0,12.0
0.7347347347347347,0.6945771706968488,1.9114081859588623,CiteSeer,GCN,13,,
0.7437437437437437,0.7102514716754892,1.463771104812622,CiteSeer,GraphSAGE,13,,
0.7437437437437437,0.7030805799444798,3.1830198764801025,CiteSeer,GAT,13,,
0.6842629482071713,0.6456974817416546,1.2509336471557617,CiteSeer,RandomPartition,13,1.0,12.0
0.7147147147147147,0.6839208784263597,1.9381434917449951,CiteSeer,GCN,14,,
0.7007007007007007,0.6658021524578771,1.3631055355072021,CiteSeer,GraphSAGE,14,,
0.7067067067067067,0.6762143689389107,3.281181812286377,CiteSeer,GAT,14,,
0.7062937062937062,0.6861077484032294,1.4479525089263916,CiteSeer,RandomPartition,14,1.0,12.0
0.7157157157157157,0.6934385139926773,2.084484815597534,CiteSeer,GCN,15,,
