f1_micro,f1_macro,runtime,overlap_ratio,num_clusters,dataset,method,wmc,seed,label
0.9358288770053476,0.9360982246750682,0.7158682346343994,1.3140076174354633,6,ACM,adaptive,0.3,5,margin_l050
0.9117021276595745,0.9109216096856537,0.7323462963104248,1.323317816335167,6,ACM,adaptive,0.3,5,hybrid_l050
0.9171348314606742,0.9170113142980396,0.6864035129547119,1.0,6,ACM,fixed_wmc,1.0,6,no_overlap
0.9152380952380952,0.9182113259950683,0.8757152557373047,1.475666525603047,6,ACM,fixed_wmc,0.1,6,WMC_0.10
0.9051094890510949,0.9046753122233039,0.7258098125457764,1.3491324587388913,6,ACM,fixed_wmc,0.2,6,WMC_0.20
0.92,0.920352012215552,0.7439305782318115,1.2644942869234024,6,ACM,fixed_wmc,0.3,6,WMC_0.30
0.9287383177570093,0.9284010171905198,0.7869768142700195,1.2052475666525604,6,ACM,fixed_wmc,0.4,6,WMC_0.40
0.6438188494492044,0.5264495549724751,0.7643523216247559,1.1493863732543377,6,ACM,fixed_wmc,0.5,6,WMC_0.50
0.8772874058127018,0.876293112774623,0.8044865131378174,1.3055438002539146,6,ACM,adaptive,0.3,6,entropy_l050
0.9187165775401069,0.9194857477066641,0.8120574951171875,1.3140076174354633,6,ACM,adaptive,0.3,6,margin_l050
0.9287234042553192,0.9284259656745419,0.7283210754394531,1.323317816335167,6,ACM,adaptive,0.3,6,hybrid_l050
0.9382022471910112,0.9372953984641853,0.6251764297485352,1.0,6,ACM,fixed_wmc,1.0,7,no_overlap
0.7895238095238095,0.7770322163830983,0.7219865322113037,1.475666525603047,6,ACM,fixed_wmc,0.1,7,WMC_0.10
0.9249217935349322,0.9264062662461443,0.689624547958374,1.3491324587388913,6,ACM,fixed_wmc,0.2,7,WMC_0.20
0.7422222222222222,0.7429187211947118,0.7718486785888672,1.2644942869234024,6,ACM,fixed_wmc,0.3,7,WMC_0.30
0.9100467289719626,0.9072462802885112,0.7561120986938477,1.2052475666525604,6,ACM,fixed_wmc,0.4,7,WMC_0.40
0.6719706242350061,0.5866321987736889,0.7603094577789307,1.1493863732543377,6,ACM,fixed_wmc,0.5,7,WMC_0.50
0.6620021528525296,0.5448000682070083,0.7579820156097412,1.3055438002539146,6,ACM,adaptive,0.3,7,entropy_l050
0.9240641711229947,0.9242055295697679,0.7362651824951172,1.3140076174354633,6,ACM,adaptive,0.3,7,margin_l050
0.9329787234042554,0.9335103572183471,0.8316965103149414,1.323317816335167,6,ACM,adaptive,0.3,7,hybrid_l050
0.8609550561797753,0.866075429424944,0.8175919055938721,1.0,6,ACM,fixed_wmc,1.0,8,no_overlap
0.9266666666666666,0.9260732742869271,0.7015535831451416,1.475666525603047,6,ACM,fixed_wmc,0.1,8,WMC_0.10
0.9228362877997914,0.9233870808607652,0.6874887943267822,1.3491324587388913,6,ACM,fixed_wmc,0.2,8,WMC_0.20
0.8755555555555555,0.8718652374650532,0.715883731842041,1.2644942869234024,6,ACM,fixed_wmc,0.3,8,WMC_0.30
0.9170560747663551,0.9171467730844669,0.7539327144622803,1.2052475666525604,6,ACM,fixed_wmc,0.4,8,WMC_0.40
0.9326805385556916,0.9340197797754733,0.6519510746002197,1.1493863732543377,6,ACM,fixed_wmc,0.5,8,WMC_0.50
0.9149623250807319,0.9144833897395847,0.8645496368408203,1.3055438002539146,6,ACM,adaptive,0.3,8,entropy_l050
0.93048128342246,0.9313754778315158,0.7531402111053467,1.3140076174354633,6,ACM,adaptive,0.3,8,margin_l050
0.9372340425531915,0.938273961419088,0.7450847625732422,1.323317816335167,6,ACM,adaptive,0.3,8,hybrid_l050
0.9171348314606742,0.915797643907703,0.6285567283630371,1.0,6,ACM,fixed_wmc,1.0,9,no_overlap
0.6895238095238095,0.6090153554555723,0.7323207855224609,1.475666525603047,6,ACM,fixed_wmc,0.1,9,WMC_0.10
0.9290928050052137,0.9304551949589038,0.7234642505645752,1.3491324587388913,6,ACM,fixed_wmc,0.2,9,WMC_0.20
0.8911111111111111,0.8943784362804607,0.7735528945922852,1.2644942869234024,6,ACM,fixed_wmc,0.3,9,WMC_0.30
0.9158878504672897,0.9170460731849603,0.6960089206695557,1.2052475666525604,6,ACM,fixed_wmc,0.4,9,WMC_0.40
0.9204406364749081,0.9216897585490726,0.8391797542572021,1.1493863732543377,6,ACM,fixed_wmc,0.5,9,WMC_0.50
0.9311087190527448,0.9327059268702972,0.9384126663208008,1.3055438002539146,6,ACM,adaptive,0.3,9,entropy_l050
0.893048128342246,0.8926517530363604,0.7492437362670898,1.3140076174354633,6,ACM,adaptive,0.3,9,margin_l050
0.9212765957446809,0.9234395694818573,0.8364789485931396,1.323317816335167,6,ACM,adaptive,0.3,9,hybrid_l050
0.9213483146067416,0.9238039925028961,0.7331962585449219,1.0,6,ACM,fixed_wmc,1.0,10,no_overlap
0.9295238095238095,0.9301948670469665,0.855452299118042,1.475666525603047,6,ACM,fixed_wmc,0.1,10,WMC_0.10
0.9374348279457768,0.9387898982929377,0.9048783779144287,1.3491324587388913,6,ACM,fixed_wmc,0.2,10,WMC_0.20
0.9311111111111111,0.9327427298266008,0.9094085693359375,1.2644942869234024,6,ACM,fixed_wmc,0.3,10,WMC_0.30
0.919392523364486,0.9201427714884244,0.781641960144043,1.2052475666525604,6,ACM,fixed_wmc,0.4,10,WMC_0.40
0.9069767441860465,0.909218781452008,0.8952033519744873,1.1493863732543377,6,ACM,fixed_wmc,0.5,10,WMC_0.50
0.93756727664155,0.9383807098572655,0.9898786544799805,1.3055438002539146,6,ACM,adaptive,0.3,10,entropy_l050
