f1_micro,f1_macro,runtime,overlap_ratio,num_clusters,dataset,method,seed,wmc,lambda
0.5483271375464684,0.4599120880673559,1.4811756610870361,1.0,6,PubMed,no_overlap,7,0.3,0.5
0.770699560662386,0.7663210256778649,1.4586973190307617,1.0,6,PubMed,no_overlap,8,0.3,0.5
0.4021628928692126,0.19121073351008275,1.5247797966003418,1.0,6,PubMed,no_overlap,9,0.3,0.5
0.5479049906591941,0.43868692263161974,1.8603630065917969,1.2664198407465639,6,PubMed,original_wmc,0,0.3,0.5
0.42540699226047507,0.24490486227230324,2.0114612579345703,1.2664198407465639,6,PubMed,original_wmc,1,0.3,0.5
0.8099813183880438,0.8053566695058693,1.8392772674560547,1.2664198407465639,6,PubMed,original_wmc,2,0.3,0.5
0.6354416866826795,0.6092315893367078,1.8865509033203125,1.2664198407465639,6,PubMed,original_wmc,3,0.3,0.5
0.7651454496930878,0.7619503254859659,2.01442813873291,1.2664198407465639,6,PubMed,original_wmc,4,0.3,0.5
0.5064051240992794,0.4167357824590144,1.8746285438537598,1.2664198407465639,6,PubMed,original_wmc,5,0.3,0.5
0.5536429143314652,0.47123945440975046,1.8476088047027588,1.2664198407465639,6,PubMed,original_wmc,6,0.3,0.5
0.548705631171604,0.4656555314242666,1.829085350036621,1.2664198407465639,6,PubMed,original_wmc,7,0.3,0.5
0.6289031224979984,0.5896580513623378,1.9736506938934326,1.2664198407465639,6,PubMed,original_wmc,8,0.3,0.5
0.5194822524686415,0.4143065596737176,1.8919682502746582,1.2664198407465639,6,PubMed,original_wmc,9,0.3,0.5
0.560770623222136,0.4528066302162032,2.232459783554077,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,0,0.3,0.5
0.4668994052236876,0.327608144191301,2.2330689430236816,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,1,0.3,0.5
0.7971295577967417,0.7926533399747822,2.113953113555908,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,2,0.3,0.5
0.7810964572019653,0.7761900308177005,2.2355356216430664,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,3,0.3,0.5
0.5662011895526248,0.48443550426666954,2.38849139213562,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,4,0.3,0.5
0.42487716576157225,0.2413101819105946,2.213495969772339,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,5,0.3,0.5
0.5368502715283165,0.46475826442592316,2.1241161823272705,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,6,0.3,0.5
0.5576674424618567,0.47123652510480935,2.293059825897217,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,7,0.3,0.5
0.7945435738298423,0.7889498552772448,2.269099473953247,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,8,0.3,0.5
0.5239203516938195,0.42677457964053694,2.208731174468994,1.3069432469442612,6,PubMed,entropy_adaptive_wmc,9,0.3,0.5
0.5585133744855967,0.448723585677473,2.0996475219726562,1.3141451539280824,6,PubMed,margin_adaptive_wmc,0,0.3,0.5
0.43968621399176955,0.26178670581947827,1.9460208415985107,1.3141451539280824,6,PubMed,margin_adaptive_wmc,1,0.3,0.5
0.803369341563786,0.7985811966601967,2.10982346534729,1.3141451539280824,6,PubMed,margin_adaptive_wmc,2,0.3,0.5
0.8023405349794238,0.7971725615136057,2.1003429889678955,1.3141451539280824,6,PubMed,margin_adaptive_wmc,3,0.3,0.5
0.6616512345679012,0.6300093839005997,1.9759645462036133,1.3141451539280824,6,PubMed,margin_adaptive_wmc,4,0.3,0.5
